Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n 500V,C_1206_3216Metric,117.22,-137.5,-90.0,top
C2,2.2n 50V,C_0603_1608Metric,127.254,-112.903,180.0,top
C3,100n 50V,C_0402_1005Metric,104.93,-123.605,180.0,top
C4,1n 500V,C_1206_3216Metric,103.52,-129.835,-90.0,top
C5,4.7uF 100V,C_1210_3225Metric,103.02,-136.32,90.0,top
C6,100n 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.65,-140.1025,90.0,top
C7,22n 100V,C_0402_1005Metric,111.0996,-113.7666,180.0,top
C8,100n 50V,C_0402_1005Metric,117.475,-108.458,0.0,top
C9,470n 25V,C_0603_1608Metric,109.728,-112.522,180.0,top
C10,100n 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.299,-114.5032,0.0,top
C11,2.2u 16V,C_0603_1608Metric,127.254,-114.427,0.0,top
C12,2.2u 50V,C_0805_2012Metric,127.315,-117.856,0.0,top
C13,470n 25V,C_0603_1608Metric,118.497246,-133.56,-90.0,top
C14,470n 25V,C_0603_1608Metric,123.063,-118.491,0.0,top
C15,100n 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.5108,-115.7732,-90.0,top
C16,470n 25V,C_0603_1608Metric,106.6038,-116.713,180.0,top
C17,100n 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.0836,-115.3414,180.0,top
C18,470n 25V,C_0603_1608Metric,117.42,-130.46,-90.0,top
C19,1n 500V,C_1206_3216Metric,133.92,-135.16,90.0,top
C20,2.2n 50V,C_0603_1608Metric,127.3556,-110.5154,0.0,top
C21,100n 50V,C_0402_1005Metric,132.42,-125.56,0.0,top
C22,1n 500V,C_1206_3216Metric,120.597246,-134.86,-90.0,top
C23,4.7uF 100V,C_1210_3225Metric,113.665,-140.716,0.0,top
C24,100n 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.378,-140.081,180.0,top
J1,Conn_01x14,PinHeader_1x14_P2.54mm_Vertical,134.62,-104.775,0.0,top
J2,Conn_01x14,PinHeader_1x14_P2.54mm_Vertical,101.61,-144.145,180.0,top
Q1,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,113.245,-135.3875,180.0,top
Q2,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,113.12,-127.8875,180.0,top
Q3,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,107.52,-135.36,180.0,top
Q4,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,107.52,-127.86,180.0,top
Q5,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,130.02,-138.1875,180.0,top
Q6,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,130.02,-130.76,180.0,top
Q7,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,124.52,-138.26,180.0,top
Q8,AO4264E,SOIC-8_3.9x4.9mm_P1.27mm,124.52,-130.76,180.0,top
R1,5.1R 1%,R_0805_2012Metric,117.22,-127.26,-90.0,top
R2,5.1R 1%,R_0805_2012Metric,115.32,-121.56,-90.0,top
R3,47R 1%,R_0402_1005Metric,125.222,-112.395,90.0,top
R4,47R 1%,R_0402_1005Metric,129.6904,-113.5888,0.0,top
R5,30mR 2W,R_2512_6332Metric,110.236,-122.047,0.0,top
R6,5.1R 1%,R_0805_2012Metric,103.4034,-116.459,180.0,top
R7,5.1R 1%,R_0805_2012Metric,103.015,-124.645,-90.0,top
R9,10k 1%,R_0402_1005Metric,125.095,-107.315,180.0,top
R10,10k 1%,R_0402_1005Metric,119.507,-107.061,180.0,top
R11,10k 1%,R_0402_1005Metric,112.0394,-107.696,90.0,top
R12,10k 1%,R_0402_1005Metric,109.4232,-107.7976,0.0,top
R13,33,R_0402_1005Metric,127.0,-107.95,0.0,top
R14,2.2R,R_0603_1608Metric,109.647246,-110.998,180.0,top
R15,0R,R_0402_1005Metric,127.127,-116.3066,0.0,top
R16,0R DNI,R_0402_1005Metric,130.6322,-115.4938,0.0,top
R17,0R DNI,R_0402_1005Metric,130.6576,-116.4844,0.0,top
R18,0R DNI,R_0805_2012Metric,114.554,-107.696,180.0,top
R19,5.1R 1%,R_0805_2012Metric,130.81,-118.618,0.0,top
R20,5.1R 1%,R_0805_2012Metric,132.72,-123.16,-90.0,top
R21,47R 1%,R_0402_1005Metric,124.8918,-110.6932,0.0,top
R22,47R 1%,R_0402_1005Metric,122.936,-110.6932,180.0,top
R23,30mR 2W,R_2512_6332Metric,127.03,-124.505,0.0,top
R24,5.1R 1%,R_0805_2012Metric,118.92,-122.36,-90.0,top
R25,5.1R 1%,R_0805_2012Metric,120.815,-126.65,-90.0,top
U1,TMC2160A-TA-T,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,117.597246,-114.375,90.0,top
